state,state_code,state_name,county_code,county_name,visited,date
AL,1,Alabama,119,Sumter County,0,
AL,1,Alabama,121,Talladega County,0,
AL,1,Alabama,123,Tallapoosa County,0,
AL,1,Alabama,125,Tuscaloosa County,0,
AL,1,Alabama,127,Walker County,0,
AL,1,Alabama,129,Walker County,0,
AL,1,Alabama,131,Wilcox County,0,
AL,1,Alabama,133,Winston County,0,
AK,2,Alaska,13,Aleutians East Borough,0,
AK,2,Alaska,16,Aleutians West Census Area,0,
AK,2,Alaska,20,Anchorage Municipality,0,
AK,2,Alaska,50,Bethel Census Area,0,
AK,2,Alaska,60,Bristol Bay Borough,0,
AK,2,Alaska,68,Denali Borough,0,
AK,2,Alaska,70,Dillingham Census Area,0,
AK,2,Alaska,90,Fairbanks North Star Borough,0,
AK,2,Alaska,100,Haines Borough,0,
AK,2,Alaska,105,Hoonah-Angoon Census Area,0,
AK,2,Alaska,110,Juneau City and Borough,0,
AK,2,Alaska,122,Kenai Peninsula Borough,0,
AK,2,Alaska,130,Ketchikan Gateway Borough,0,
AK,2,Alaska,150,Kodiak Island Borough,0,
AK,2,Alaska,158,Kusilvak Census Area,0,
AK,2,Alaska,164,Lake and Peninsula Borough,0,
AK,2,Alaska,170,Matanuska-Susitna Borough,0,
AK,2,Alaska,180,Nome Census Area,0,
AK,2,Alaska,185,North Slope Borough,0,
AK,2,Alaska,188,Northwest Arctic Borough,0,
AK,2,Alaska,195,Petersburg Census Area,0,
AK,2,Alaska,198,Prince of Wales-Hyder Census Area,0,
AK,2,Alaska,220,Sitka City and Borough,0,
AK,2,Alaska,230,Skagway Municipality,0,
AK,2,Alaska,240,Southeast Fairbanks Census Area,0,
AK,2,Alaska,261,Valdez-Cordova Census Area,0,
AK,2,Alaska,270,Wade Hampton Census Area,0,
AK,2,Alaska,275,Wrangell City and Borough,0,
AK,2,Alaska,282,Yakutat City and Borough,0,
AK,2,Alaska,290,Yukon-Koyukuk Census Area,0,
AZ,4,Arizona,1,Apache County,0,
AZ,4,Arizona,3,Cochise County,0,
AZ,4,Arizona,5,Coconino County,0,
AZ,4,Arizona,7,Gila County,0,
AZ,4,Arizona,9,Graham County,0,
AZ,4,Arizona,11,Greenlee County,0,
AZ,4,Arizona,12,La Paz County,0,
DE,10,Delaware,1,Kent County,1,
AZ,4,Arizona,15,Mohave County,0,
AZ,4,Arizona,17,Navajo County,0,
AZ,4,Arizona,19,Pima County,1,1/26/23
AZ,4,Arizona,21,Pinal County,1,1/28/23
AZ,4,Arizona,23,Santa Cruz County,0,
AZ,4,Arizona,25,Yavapai County,0,
AZ,4,Arizona,27,Yuma County,0,
AR,5,Arkansas,1,Arkansas County,0,
AR,5,Arkansas,3,Ashley County,0,
AR,5,Arkansas,5,Baxter County,0,
AR,5,Arkansas,7,Benton County,0,
AR,5,Arkansas,9,Boone County,0,
AR,5,Arkansas,11,Bradley County,0,
AR,5,Arkansas,13,Calhoun County,0,
AR,5,Arkansas,15,Carroll County,0,
AR,5,Arkansas,17,Chicot County,0,
AR,5,Arkansas,19,Clark County,0,
AR,5,Arkansas,21,Clay County,0,
AR,5,Arkansas,23,Cleburne County,0,
AR,5,Arkansas,25,Cleveland County,0,
AR,5,Arkansas,27,Columbia County,0,
AR,5,Arkansas,29,Conway County,0,
AR,5,Arkansas,31,Craighead County,0,
AR,5,Arkansas,33,Crawford County,0,
AR,5,Arkansas,35,Crittenden County,0,
AR,5,Arkansas,37,Cross County,0,
AR,5,Arkansas,39,Dallas County,0,
AR,5,Arkansas,41,Desha County,0,
AR,5,Arkansas,43,Drew County,0,
AR,5,Arkansas,45,Faulkner County,0,
AR,5,Arkansas,47,Franklin County,0,
AR,5,Arkansas,49,Fulton County,0,
AR,5,Arkansas,51,Garland County,0,
AR,5,Arkansas,53,Grant County,0,
AR,5,Arkansas,55,Greene County,0,
AR,5,Arkansas,57,Hempstead County,0,
AR,5,Arkansas,59,Hot Spring County,0,
AR,5,Arkansas,61,Howard County,0,
AR,5,Arkansas,63,Independence County,0,
AR,5,Arkansas,65,Izard County,0,
AR,5,Arkansas,67,Jackson County,0,
AR,5,Arkansas,69,Jefferson County,0,
AR,5,Arkansas,71,Johnson County,0,
AR,5,Arkansas,73,Lafayette County,0,
AR,5,Arkansas,75,Lawrence County,0,
AR,5,Arkansas,77,Lee County,0,
AR,5,Arkansas,79,Lincoln County,0,
AR,5,Arkansas,81,Little River County,0,
AR,5,Arkansas,83,Logan County,0,
AR,5,Arkansas,85,Lonoke County,0,
AR,5,Arkansas,87,Madison County,0,
AR,5,Arkansas,89,Marion County,0,
AR,5,Arkansas,91,Miller County,0,
AR,5,Arkansas,93,Mississippi County,0,
AR,5,Arkansas,95,Monroe County,0,
AR,5,Arkansas,97,Montgomery County,0,
AR,5,Arkansas,99,Nevada County,0,
AR,5,Arkansas,101,Newton County,0,
AR,5,Arkansas,103,Ouachita County,0,
AR,5,Arkansas,105,Perry County,0,
AR,5,Arkansas,107,Phillips County,0,
AR,5,Arkansas,109,Pike County,0,
AR,5,Arkansas,111,Poinsett County,0,
AR,5,Arkansas,113,Polk County,0,
AR,5,Arkansas,115,Pope County,0,
AR,5,Arkansas,117,Prairie County,0,
AR,5,Arkansas,119,Pulaski County,0,
AR,5,Arkansas,121,Randolph County,0,
AR,5,Arkansas,123,St. Francis County,0,
AR,5,Arkansas,125,Saline County,0,
AR,5,Arkansas,127,Scott County,0,
AR,5,Arkansas,129,Searcy County,0,
AR,5,Arkansas,131,Sebastian County,0,
AR,5,Arkansas,133,Sevier County,0,
AR,5,Arkansas,135,Sharp County,0,
AR,5,Arkansas,137,Stone County,0,
AR,5,Arkansas,139,Union County,0,
AR,5,Arkansas,141,Van Buren County,0,
AR,5,Arkansas,143,Washington County,0,
AR,5,Arkansas,145,White County,0,
AR,5,Arkansas,147,Woodruff County,0,
AR,5,Arkansas,149,Yell County,0,
CA,6,California,1,Alameda County,0,
CA,6,California,3,Alpine County,0,
CA,6,California,5,Amador County,0,
CA,6,California,7,Butte County,0,
CA,6,California,9,Calaveras County,0,
CA,6,California,11,Colusa County,0,
CA,6,California,13,Contra Costa County,0,
CA,6,California,15,Del Norte County,0,
CA,6,California,17,El Dorado County,0,
CA,6,California,19,Fresno County,0,
CA,6,California,21,Glenn County,0,
CA,6,California,23,Humboldt County,0,
CA,6,California,25,Imperial County,0,
CA,6,California,27,Inyo County,0,
CA,6,California,29,Kern County,0,
CA,6,California,31,Kings County,0,
CA,6,California,33,Lake County,0,
CA,6,California,35,Lassen County,0,
MA,25,Massachusetts,1,Barnstable County,1,
CA,6,California,39,Madera County,0,
CA,6,California,41,Marin County,0,
CA,6,California,43,Mariposa County,0,
CA,6,California,45,Mendocino County,0,
CA,6,California,47,Merced County,0,
CA,6,California,49,Modoc County,0,
CA,6,California,51,Mono County,0,
CA,6,California,53,Monterey County,0,
CA,6,California,55,Napa County,0,
CA,6,California,57,Nevada County,0,
CA,6,California,59,Orange County,0,
CA,6,California,61,Placer County,0,
CA,6,California,63,Plumas County,0,
CA,6,California,65,Riverside County,0,
CA,6,California,67,Sacramento County,0,
CA,6,California,69,San Benito County,0,
CA,6,California,71,San Bernardino County,0,
CA,6,California,73,San Diego County,0,
CA,6,California,75,San Francisco County,0,
CA,6,California,77,San Joaquin County,0,
CA,6,California,79,San Luis Obispo County,0,
CA,6,California,81,San Mateo County,0,
CA,6,California,83,Santa Barbara County,0,
CA,6,California,85,Santa Clara County,0,
CA,6,California,87,Santa Cruz County,0,
CA,6,California,89,Shasta County,0,
CA,6,California,91,Sierra County,0,
CA,6,California,93,Siskiyou County,0,
CA,6,California,95,Solano County,0,
CA,6,California,97,Sonoma County,0,
CA,6,California,99,Stanislaus County,0,
CA,6,California,101,Sutter County,0,
CA,6,California,103,Tehama County,0,
CA,6,California,105,Trinity County,0,
CA,6,California,107,Tulare County,0,
CA,6,California,109,Tuolumne County,0,
CA,6,California,111,Ventura County,0,
CA,6,California,113,Yolo County,0,
CA,6,California,115,Yuba County,0,
CO,8,Colorado,1,Adams County,1,12/21/22
CO,8,Colorado,3,Alamosa County,0,
CO,8,Colorado,5,Arapahoe County,1,12/21/22
CO,8,Colorado,7,Archuleta County,0,
CO,8,Colorado,9,Baca County,0,
CO,8,Colorado,11,Bent County,0,
CO,8,Colorado,13,Boulder County,1,12/26/22
CO,8,Colorado,14,Broomfield County,1,12/26/22
CO,8,Colorado,15,Chaffee County,0,
CO,8,Colorado,17,Cheyenne County,0,
CO,8,Colorado,19,Clear Creek County,0,
CO,8,Colorado,21,Conejos County,0,
CO,8,Colorado,23,Costilla County,0,
CO,8,Colorado,25,Crowley County,0,
CO,8,Colorado,27,Custer County,0,
CO,8,Colorado,29,Delta County,0,
CO,8,Colorado,31,Denver County,1,12/21/22
CO,8,Colorado,33,Dolores County,0,
CO,8,Colorado,35,Douglas County,0,
CO,8,Colorado,37,Eagle County,0,
CO,8,Colorado,39,Elbert County,0,
CO,8,Colorado,41,El Paso County,0,
CO,8,Colorado,43,Fremont County,0,
CO,8,Colorado,45,Garfield County,0,
CO,8,Colorado,47,Gilpin County,0,
CO,8,Colorado,49,Grand County,0,
CO,8,Colorado,51,Gunnison County,0,
CO,8,Colorado,53,Hinsdale County,0,
CO,8,Colorado,55,Huerfano County,0,
CO,8,Colorado,57,Jackson County,0,
CO,8,Colorado,59,Jefferson County,1,12/26/22
CO,8,Colorado,61,Kiowa County,0,
CO,8,Colorado,63,Kit Carson County,0,
CO,8,Colorado,65,Lake County,0,
CO,8,Colorado,67,La Plata County,0,
CO,8,Colorado,69,Larimer County,0,
CO,8,Colorado,71,Las Animas County,0,
CO,8,Colorado,73,Lincoln County,0,
CO,8,Colorado,75,Logan County,0,
CO,8,Colorado,77,Mesa County,0,
CO,8,Colorado,79,Mineral County,0,
CO,8,Colorado,81,Moffat County,0,
CO,8,Colorado,83,Montezuma County,0,
CO,8,Colorado,85,Montrose County,0,
CO,8,Colorado,87,Morgan County,0,
CO,8,Colorado,89,Otero County,0,
CO,8,Colorado,91,Ouray County,0,
CO,8,Colorado,93,Park County,0,
CO,8,Colorado,95,Phillips County,0,
CO,8,Colorado,97,Pitkin County,0,
CO,8,Colorado,99,Prowers County,0,
CO,8,Colorado,101,Pueblo County,0,
CO,8,Colorado,103,Rio Blanco County,0,
CO,8,Colorado,105,Rio Grande County,0,
CO,8,Colorado,107,Routt County,0,
CO,8,Colorado,109,Saguache County,0,
CO,8,Colorado,111,San Juan County,0,
CO,8,Colorado,113,San Miguel County,0,
CO,8,Colorado,115,Sedgwick County,0,
CO,8,Colorado,117,Summit County,0,
CO,8,Colorado,119,Teller County,0,
CO,8,Colorado,121,Washington County,0,
CO,8,Colorado,123,Weld County,0,
CO,8,Colorado,125,Yuma County,0,
NH,33,New Hampshire,1,Belknap County,1,
NY,36,New York,1,Albany County,1,
NC,37,North Carolina,1,Alamance County,1,
PA,42,Pennsylvania,1,Adams County,1,
RI,44,Rhode Island,1,Bristol County,1,
VT,50,Vermont,1,Addison County,1,
VA,51,Virginia,1,Accomack County,1,
CT,9,Connecticut,3,Hartford County,1,
DE,10,Delaware,3,New Castle County,1,
MA,25,Massachusetts,3,Berkshire County,1,
NV,32,Nevada,3,Clark County,1,
DC,11,District of Columbia,1,District of Columbia,0,
FL,12,Florida,1,Alachua County,0,
FL,12,Florida,3,Baker County,0,
FL,12,Florida,5,Bay County,0,
FL,12,Florida,7,Bradford County,0,
NH,33,New Hampshire,3,Carroll County,1,
NJ,34,New Jersey,3,Bergen County,1,
FL,12,Florida,13,Calhoun County,0,
FL,12,Florida,15,Charlotte County,0,
FL,12,Florida,17,Citrus County,0,
FL,12,Florida,19,Clay County,0,
NC,37,North Carolina,3,Alexander County,1,
FL,12,Florida,23,Columbia County,0,
FL,12,Florida,27,DeSoto County,0,
FL,12,Florida,29,Dixie County,0,
PA,42,Pennsylvania,3,Allegheny County,1,
FL,12,Florida,33,Escambia County,0,
RI,44,Rhode Island,3,Kent County,1,
FL,12,Florida,37,Franklin County,0,
FL,12,Florida,39,Gadsden County,0,
FL,12,Florida,41,Gilchrist County,0,
FL,12,Florida,43,Glades County,0,
FL,12,Florida,45,Gulf County,0,
FL,12,Florida,47,Hamilton County,0,
FL,12,Florida,49,Hardee County,0,
FL,12,Florida,51,Hendry County,0,
FL,12,Florida,53,Hernando County,0,
FL,12,Florida,55,Highlands County,0,
FL,12,Florida,57,Hillsborough County,0,
FL,12,Florida,59,Holmes County,0,
FL,12,Florida,61,Indian River County,0,
FL,12,Florida,63,Jackson County,0,
FL,12,Florida,65,Jefferson County,0,
FL,12,Florida,67,Lafayette County,0,
FL,12,Florida,69,Lake County,0,
FL,12,Florida,73,Leon County,0,
FL,12,Florida,75,Levy County,0,
FL,12,Florida,77,Liberty County,0,
FL,12,Florida,79,Madison County,0,
FL,12,Florida,81,Manatee County,0,
FL,12,Florida,83,Marion County,0,
FL,12,Florida,85,Martin County,0,
VT,50,Vermont,3,Bennington County,1,
VA,51,Virginia,3,Albemarle County,1,
WV,54,West Virginia,3,Berkeley County,1,
FL,12,Florida,91,Okaloosa County,0,
FL,12,Florida,93,Okeechobee County,0,
CT,9,Connecticut,5,Litchfield County,1,
FL,12,Florida,97,Osceola County,0,
FL,12,Florida,99,Palm Beach County,0,
FL,12,Florida,101,Pasco County,0,
FL,12,Florida,103,Pinellas County,0,
FL,12,Florida,105,Polk County,0,
FL,12,Florida,107,Putnam County,0,
DE,10,Delaware,5,Sussex County,1,
FL,12,Florida,111,St. Lucie County,0,
FL,12,Florida,113,Santa Rosa County,0,
FL,12,Florida,115,Sarasota County,0,
FL,12,Florida,117,Seminole County,0,
FL,12,Florida,119,Sumter County,0,
FL,12,Florida,121,Suwannee County,0,
FL,12,Florida,123,Taylor County,0,
FL,12,Florida,125,Union County,0,
ME,23,Maine,5,Cumberland County,1,
FL,12,Florida,129,Wakulla County,0,
FL,12,Florida,131,Walton County,0,
FL,12,Florida,133,Washington County,0,
GA,13,Georgia,1,Appling County,0,
GA,13,Georgia,3,Atkinson County,0,
GA,13,Georgia,5,Bacon County,0,
GA,13,Georgia,7,Baker County,0,
GA,13,Georgia,9,Baldwin County,0,
GA,13,Georgia,11,Banks County,0,
GA,13,Georgia,13,Barrow County,0,
GA,13,Georgia,15,Bartow County,0,
GA,13,Georgia,17,Ben Hill County,0,
GA,13,Georgia,19,Berrien County,0,
GA,13,Georgia,21,Bibb County,0,
GA,13,Georgia,23,Bleckley County,0,
GA,13,Georgia,25,Brantley County,0,
GA,13,Georgia,27,Brooks County,0,
MD,24,Maryland,5,Baltimore County,1,
GA,13,Georgia,31,Bulloch County,0,
GA,13,Georgia,33,Burke County,0,
GA,13,Georgia,35,Butts County,0,
GA,13,Georgia,37,Calhoun County,0,
MA,25,Massachusetts,5,Bristol County,1,
GA,13,Georgia,43,Candler County,0,
GA,13,Georgia,45,Carroll County,0,
GA,13,Georgia,47,Catoosa County,0,
GA,13,Georgia,49,Charlton County,0,
NH,33,New Hampshire,5,Cheshire County,1,
GA,13,Georgia,53,Chattahoochee County,0,
GA,13,Georgia,55,Chattooga County,0,
GA,13,Georgia,57,Cherokee County,0,
GA,13,Georgia,59,Clarke County,0,
GA,13,Georgia,61,Clay County,0,
GA,13,Georgia,63,Clayton County,0,
GA,13,Georgia,65,Clinch County,0,
GA,13,Georgia,67,Cobb County,0,
GA,13,Georgia,69,Coffee County,0,
GA,13,Georgia,71,Colquitt County,0,
GA,13,Georgia,73,Columbia County,0,
GA,13,Georgia,75,Cook County,0,
GA,13,Georgia,77,Coweta County,0,
GA,13,Georgia,79,Crawford County,0,
GA,13,Georgia,81,Crisp County,0,
GA,13,Georgia,83,Dade County,0,
GA,13,Georgia,85,Dawson County,0,
GA,13,Georgia,87,Decatur County,0,
GA,13,Georgia,89,DeKalb County,0,
GA,13,Georgia,91,Dodge County,0,
GA,13,Georgia,93,Dooly County,0,
GA,13,Georgia,95,Dougherty County,0,
GA,13,Georgia,97,Douglas County,0,
GA,13,Georgia,99,Early County,0,
GA,13,Georgia,101,Echols County,0,
GA,13,Georgia,103,Effingham County,0,
GA,13,Georgia,105,Elbert County,0,
GA,13,Georgia,107,Emanuel County,0,
GA,13,Georgia,109,Evans County,0,
GA,13,Georgia,111,Fannin County,0,
GA,13,Georgia,113,Fayette County,0,
GA,13,Georgia,115,Floyd County,0,
GA,13,Georgia,117,Forsyth County,0,
GA,13,Georgia,119,Franklin County,0,
GA,13,Georgia,121,Fulton County,0,
GA,13,Georgia,123,Gilmer County,0,
GA,13,Georgia,125,Glascock County,0,
NJ,34,New Jersey,5,Burlington County,1,
GA,13,Georgia,129,Gordon County,0,
GA,13,Georgia,131,Grady County,0,
GA,13,Georgia,133,Greene County,0,
GA,13,Georgia,135,Gwinnett County,0,
GA,13,Georgia,137,Habersham County,0,
GA,13,Georgia,139,Hall County,0,
GA,13,Georgia,141,Hancock County,0,
GA,13,Georgia,143,Haralson County,0,
GA,13,Georgia,145,Harris County,0,
GA,13,Georgia,147,Hart County,0,
GA,13,Georgia,149,Heard County,0,
GA,13,Georgia,151,Henry County,0,
GA,13,Georgia,153,Houston County,0,
GA,13,Georgia,155,Irwin County,0,
GA,13,Georgia,157,Jackson County,0,
GA,13,Georgia,159,Jasper County,0,
GA,13,Georgia,161,Jeff Davis County,0,
GA,13,Georgia,163,Jefferson County,0,
GA,13,Georgia,165,Jenkins County,0,
GA,13,Georgia,167,Johnson County,0,
GA,13,Georgia,169,Jones County,0,
GA,13,Georgia,171,Lamar County,0,
GA,13,Georgia,173,Lanier County,0,
GA,13,Georgia,175,Laurens County,0,
GA,13,Georgia,177,Lee County,0,
NY,36,New York,5,Bronx County,1,
GA,13,Georgia,181,Lincoln County,0,
GA,13,Georgia,183,Long County,0,
GA,13,Georgia,185,Lowndes County,0,
GA,13,Georgia,187,Lumpkin County,0,
GA,13,Georgia,189,McDuffie County,0,
NC,37,North Carolina,5,Alleghany County,1,
GA,13,Georgia,193,Macon County,0,
GA,13,Georgia,195,Madison County,0,
GA,13,Georgia,197,Marion County,0,
GA,13,Georgia,199,Meriwether County,0,
GA,13,Georgia,201,Miller County,0,
GA,13,Georgia,205,Mitchell County,0,
GA,13,Georgia,207,Monroe County,0,
GA,13,Georgia,209,Montgomery County,0,
GA,13,Georgia,211,Morgan County,0,
GA,13,Georgia,213,Murray County,0,
GA,13,Georgia,215,Muscogee County,0,
GA,13,Georgia,217,Newton County,0,
GA,13,Georgia,219,Oconee County,0,
GA,13,Georgia,221,Oglethorpe County,0,
GA,13,Georgia,223,Paulding County,0,
GA,13,Georgia,225,Peach County,0,
GA,13,Georgia,227,Pickens County,0,
GA,13,Georgia,229,Pierce County,0,
GA,13,Georgia,231,Pike County,0,
GA,13,Georgia,233,Polk County,0,
GA,13,Georgia,235,Pulaski County,0,
GA,13,Georgia,237,Putnam County,0,
GA,13,Georgia,239,Quitman County,0,
OR,41,Oregon,5,Clackamas County,1,
GA,13,Georgia,243,Randolph County,0,
GA,13,Georgia,245,Richmond County,0,
GA,13,Georgia,247,Rockdale County,0,
GA,13,Georgia,249,Schley County,0,
GA,13,Georgia,251,Screven County,0,
GA,13,Georgia,253,Seminole County,0,
GA,13,Georgia,255,Spalding County,0,
GA,13,Georgia,257,Stephens County,0,
GA,13,Georgia,259,Stewart County,0,
GA,13,Georgia,261,Sumter County,0,
GA,13,Georgia,263,Talbot County,0,
GA,13,Georgia,265,Taliaferro County,0,
GA,13,Georgia,267,Tattnall County,0,
GA,13,Georgia,269,Taylor County,0,
GA,13,Georgia,271,Telfair County,0,
GA,13,Georgia,273,Terrell County,0,
GA,13,Georgia,275,Thomas County,0,
GA,13,Georgia,277,Tift County,0,
GA,13,Georgia,279,Toombs County,0,
GA,13,Georgia,281,Towns County,0,
GA,13,Georgia,283,Treutlen County,0,
GA,13,Georgia,285,Troup County,0,
GA,13,Georgia,287,Turner County,0,
GA,13,Georgia,289,Twiggs County,0,
GA,13,Georgia,291,Union County,0,
GA,13,Georgia,293,Upson County,0,
GA,13,Georgia,295,Walker County,0,
GA,13,Georgia,297,Walton County,0,
GA,13,Georgia,299,Ware County,0,
GA,13,Georgia,301,Warren County,0,
GA,13,Georgia,303,Washington County,0,
GA,13,Georgia,305,Wayne County,0,
GA,13,Georgia,307,Webster County,0,
GA,13,Georgia,309,Wheeler County,0,
GA,13,Georgia,311,White County,0,
GA,13,Georgia,313,Whitfield County,0,
GA,13,Georgia,315,Wilcox County,0,
GA,13,Georgia,317,Wilkes County,0,
GA,13,Georgia,319,Wilkinson County,0,
GA,13,Georgia,321,Worth County,0,
HI,15,Hawaii,1,Hawaii County,0,
HI,15,Hawaii,3,Honolulu County,0,
HI,15,Hawaii,5,Kalawao County,0,
HI,15,Hawaii,7,Kauai County,0,
HI,15,Hawaii,9,Maui County,0,
ID,16,Idaho,1,Ada County,0,
ID,16,Idaho,3,Adams County,0,
ID,16,Idaho,5,Bannock County,0,
ID,16,Idaho,7,Bear Lake County,0,
ID,16,Idaho,9,Benewah County,0,
ID,16,Idaho,11,Bingham County,0,
ID,16,Idaho,13,Blaine County,0,
ID,16,Idaho,15,Boise County,0,
ID,16,Idaho,17,Bonner County,0,
ID,16,Idaho,19,Bonneville County,0,
ID,16,Idaho,21,Boundary County,0,
ID,16,Idaho,23,Butte County,0,
ID,16,Idaho,25,Camas County,0,
ID,16,Idaho,27,Canyon County,0,
ID,16,Idaho,29,Caribou County,0,
ID,16,Idaho,31,Cassia County,0,
ID,16,Idaho,33,Clark County,0,
ID,16,Idaho,35,Clearwater County,0,
ID,16,Idaho,37,Custer County,0,
ID,16,Idaho,39,Elmore County,0,
ID,16,Idaho,41,Franklin County,0,
ID,16,Idaho,43,Fremont County,0,
ID,16,Idaho,45,Gem County,0,
ID,16,Idaho,47,Gooding County,0,
ID,16,Idaho,49,Idaho County,0,
ID,16,Idaho,51,Jefferson County,0,
ID,16,Idaho,53,Jerome County,0,
ID,16,Idaho,55,Kootenai County,0,
ID,16,Idaho,57,Latah County,0,
ID,16,Idaho,59,Lemhi County,0,
ID,16,Idaho,61,Lewis County,0,
ID,16,Idaho,63,Lincoln County,0,
ID,16,Idaho,65,Madison County,0,
ID,16,Idaho,67,Minidoka County,0,
ID,16,Idaho,69,Nez Perce County,0,
ID,16,Idaho,71,Oneida County,0,
ID,16,Idaho,73,Owyhee County,0,
ID,16,Idaho,75,Payette County,0,
ID,16,Idaho,77,Power County,0,
ID,16,Idaho,79,Shoshone County,0,
ID,16,Idaho,81,Teton County,0,
ID,16,Idaho,83,Twin Falls County,0,
ID,16,Idaho,85,Valley County,0,
ID,16,Idaho,87,Washington County,0,
IL,17,Illinois,1,Adams County,0,
IL,17,Illinois,3,Alexander County,0,
IL,17,Illinois,5,Bond County,0,
IL,17,Illinois,7,Boone County,0,
IL,17,Illinois,9,Brown County,0,
IL,17,Illinois,11,Bureau County,0,
IL,17,Illinois,13,Calhoun County,0,
IL,17,Illinois,15,Carroll County,0,
IL,17,Illinois,17,Cass County,0,
IL,17,Illinois,19,Champaign County,0,
IL,17,Illinois,21,Christian County,0,
IL,17,Illinois,23,Clark County,0,
IL,17,Illinois,25,Clay County,0,
IL,17,Illinois,27,Clinton County,0,
IL,17,Illinois,29,Coles County,0,
IL,17,Illinois,31,Cook County,0,
IL,17,Illinois,33,Crawford County,0,
IL,17,Illinois,35,Cumberland County,0,
IL,17,Illinois,37,DeKalb County,0,
IL,17,Illinois,39,De Witt County,0,
IL,17,Illinois,41,Douglas County,0,
IL,17,Illinois,43,DuPage County,0,
IL,17,Illinois,45,Edgar County,0,
IL,17,Illinois,47,Edwards County,0,
IL,17,Illinois,49,Effingham County,0,
IL,17,Illinois,51,Fayette County,0,
IL,17,Illinois,53,Ford County,0,
IL,17,Illinois,55,Franklin County,0,
IL,17,Illinois,57,Fulton County,0,
IL,17,Illinois,59,Gallatin County,0,
IL,17,Illinois,61,Greene County,0,
IL,17,Illinois,63,Grundy County,0,
IL,17,Illinois,65,Hamilton County,0,
IL,17,Illinois,67,Hancock County,0,
IL,17,Illinois,69,Hardin County,0,
IL,17,Illinois,71,Henderson County,0,
IL,17,Illinois,73,Henry County,0,
IL,17,Illinois,75,Iroquois County,0,
IL,17,Illinois,77,Jackson County,0,
IL,17,Illinois,79,Jasper County,0,
